"","cell_id","clampfit_gain","resp_offset","resp_channel_name","command_channel_name","expt_date","layer_name","cell_type","recorder_name","subject_id","rmp"
"185","19320007.abf","20X",-9.1,"Iclamp(mV)","Current_in (pA)",2019-03-20,"L5","Pyr","Homeira","X2019.03.20",-66.1
"186","19320041.abf","20X",-15.6,"Iclamp(mV)","Current_in (pA)",2019-03-20,"L5","Pyr","Homeira","X2019.03.20",-61.6
"187","2019_09_03_0023.abf","1X",0,"Vm_Sec (mV)","IN 10(pA)",2019-09-03,"L2.3","Pyr","Homeira","X2019.09.03",-64
"188","2019_09_03_0036.abf","1X",0,"Vm_Sec (mV)","IN 10(pA)",2019-09-03,"L2.3","Pyr","Homeira","X2019.09.03",-65.8
"189","2019_09_03_0088.abf","1X",-3,"Vm_Sec (mV)","IN 10(pA)",2019-09-03,"L2.3","Pyr","Homeira","X2019.09.03",-61
"190","2019_09_03_0045.abf","1X",0,"Vm_Sec (mV)","IN 10 (pA)",2019-09-03,"L5","Pyr","Homeira","X2019.09.03",-66
"191","2019_11_04_0113.abf",NA,0,NA,NA,2019-11-04,"L5",NA,"Homeira","X2019.11.04",NA
"192","2019_11_26_0094.abf","1X",0,"Vm_Sec (mV)","IN 12 (pA)",2019-11-26,"L5","Pyr","Homeira","X2019.11.26",-65.2
"193","2019_11_26_0110.abf","1X",0,"Vm_Sec (mV)","IN 12 (pA)",2019-11-26,"L5","Pyr","Homeira","X2019.11.26",-65.4
"194","2019_11_28_0079.abf","1",0,"Vm_Sec (mV)","IN 12 (pA)",2019-11-28,"L3c","Pyr","Homeira","X2019.11.28",-64.2
"195","2019_11_28_0093.abf","1",0,"Vm_Sec (mV)","IN 12 (pA)",2019-11-28,"L3c","Pyr","Homeira","X2019.11.28",-64.3
