"","cell_id","layer_name","cell_type","recorder_name","subject_id","acquisition_time","rmp","voltage_drift","has_morphology","tag_comments","has_burst"
"114","15o08007.abf","L5","Pyr","Homeira","X2015.10.08","2015-10-08 13:36:13.578",-58.9,2.044677734375,FALSE,"C#2, L5, RMP -58.9 mV",TRUE
"115","15o08011.abf","L5","Pyr","Homeira","X2015.10.08","2015-10-08 14:31:41.515",-62.1,1.467041015625,FALSE,"C#3, L5, RMP -62.1 mV,",FALSE
"116","15o08017.abf","L5","Pyr","Homeira","X2015.10.08","2015-10-08 14:49:54.593",-57.1960422052088,1.1718722833338,FALSE,"",FALSE
"117","15o08020.abf","L5","Pyr","Homeira","X2015.10.08","2015-10-08 15:42:54.218",-63.2,3.075439453125,FALSE,"C#5, L5, RMP -63.2 mV",TRUE
"118","15o08022.abf","L5","Int","Homeira","X2015.10.08","2015-10-08 15:54:57.031",-62.3,1.78466796875,FALSE,"C#6, L5, RMP -62.3 mV, interneuron, small size",FALSE
"119","15o08032.abf","L5","Pyr","Homeira","X2015.10.08","2015-10-08 16:17:41.078",-60.5,2.383544921875,FALSE,"C#8, L5, RMP -60.5 mV",FALSE
"120","15o08038.abf","L5","Pyr","Homeira","X2015.10.08","2015-10-08 16:32:37.968",-59.9,1.87158203125,FALSE,"C#9, L5, RMP -59.9 mV",TRUE
"121","2015_11_09_0003.abf","L2.3","Pyr","Homeira","X2015.11.09","2015-11-09 12:58:49.968",-62.4,1.2580322265625,FALSE,"C#1,  RMP -62.4 mV, L2/3",FALSE
"122","2015_11_09_0017.abf","L2.3","Pyr","Homeira","X2015.11.09","2015-11-09 13:40:54.390",-61.9,1.08642578125,FALSE,"C#2, RMP -61.9 mV, L2/3,",FALSE
"123","2015_11_09_0053.abf","L2.3","Pyr","Homeira","X2015.11.09","2015-11-09 15:05:40.875",-57.5,1.57470703125,FALSE,"C#3, RMP -57.5 mV, L2/3,",FALSE
"124","2015_11_09_0078.abf","L5","Int","Homeira","X2015.11.09","2015-11-09 16:09:49.531",-61.3,3.303955078125,FALSE,"C#4, RMP -61.3 mV, L5",FALSE
"125","2015_11_09_0106.abf","L2.3","Pyr","Homeira","X2015.11.09","2015-11-09 16:39:16.593",-63.4,0.26025390625,FALSE,"C#5, RMP -63.4 mV, L2/3,",FALSE
"126","2015_11_09_0107.abf","L2.3","Pyr","Homeira","X2015.11.09","2015-11-09 16:58:56.484",-60.4,1.273681640625,FALSE,"C#6, RMP -60.4 mV, L2/3,",FALSE
"127","2016_01_28_0004.abf","L5","Pyr","Homeira","X2016.01.28","2016-01-28 13:37:42.000",-69.7,0.2783203125,FALSE,"C#2,  RMP -69.7mv ,",FALSE
"128","2016_01_28_0012.abf","L5","Pyr","Homeira","X2016.01.28","2016-01-28 14:09:49.015",-62.5,3.382080078125,FALSE,"C#3,  RMP -62.5mv , L5",FALSE
"129","2016_01_28_0019.abf","L5","Pyr","Homeira","X2016.01.28","2016-01-28 14:42:20.281",-59.2,1.149658203125,FALSE,"C#4,  RMP -59.2 mv , L5",FALSE
"130","2016_02_04_0009.abf","L5","Pyr","Homeira","X2016.02.04","2016-02-04 14:21:19.765",-68,2.755126953125,FALSE,"C#2,  RMP -68 mv , L5,",FALSE
"131","2016_02_04_0015.abf","L5","Pyr","Homeira","X2016.02.04","2016-02-04 15:09:39.671",-57.5,0.355712890625,FALSE,"C#4  RMP -57.5mv , L5,",FALSE
"132","2016_02_04_0018.abf","L5","Pyr","Homeira","X2016.02.04","2016-02-04 15:17:23.671",-58.3,3.949462890625,FALSE,"C#6  RMP -56.8mv , L5,",FALSE
"133","2016_02_04_0021.abf","L5","Pyr","Homeira","X2016.02.04","2016-02-04 15:27:53.687",-60.2,1.239013671875,FALSE,"C#7  RMP -60.2mv , L5,",FALSE
